dataset,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,20,500,3,100,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,100,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,100,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,150,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,150,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,150,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,150,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,150,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,150,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,200,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,200,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,200,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,200,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,200,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,200,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,250,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,250,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,250,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,250,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,250,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,250,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,300,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,300,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,300,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,300,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,300,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
